month,total_appointments,completed,cancelled,no_show,scheduled,no_show_rate,completion_rate
2023-01,20,1,6,8,5,40.0,5.0
2023-02,14,6,3,3,2,21.428571428571427,42.857142857142854
2023-03,19,4,4,3,8,15.789473684210526,21.052631578947366
2023-04,25,9,7,5,4,20.0,36.0
2023-05,19,6,6,5,2,26.31578947368421,31.57894736842105
2023-06,18,4,2,6,6,33.33333333333333,22.22222222222222
2023-07,16,5,4,4,3,25.0,31.25
2023-08,15,3,3,3,6,20.0,20.0
2023-09,11,2,3,3,3,27.27272727272727,18.181818181818183
2023-10,14,0,5,5,4,35.714285714285715,0.0
2023-11,17,3,3,5,6,29.411764705882355,17.647058823529413
2023-12,12,3,5,2,2,16.666666666666664,25.0
