item_id,order_id,product_id,quantity,unit_price,discount_percent
ITM100011,O10154,P1211,4,1057.92,10
ITM100012,O10421,P1329,-2,453.66,50
ITM100013,O10498,P1430,1,578.89,5
ITM100014,O10524,P1438,5,760.7,50
ITM100015,O10271,P1221,7,718.52,10
ITM100016,O10526,P1023,5,514.64,15
ITM100017,O10357,P1178,5,190.06,0
ITM100018,O10412,P1444,3,826.61,15
ITM100019,O10183,P1195,6,131.3,50
ITM100020,O10119,P1288,8,786.74,25
ITM100021,O10432,P1307,2,23.65,20
ITM100022,O10558,P1432,6,155.08,20
ITM100023,O10493,P1221,5,695.92,15
ITM100024,O10045,P1080,2,494.73,10
ITM100025,O10077,P1066,1,533.34,15
ITM100026,O10199,P1267,1,184.98,50
ITM100027,O10026,P1159,1,170.26,10
ITM100028,O10489,P1184,6,740.57,50
ITM100029,O10178,P1093,1,519.78,15
ITM100030,O10489,P1121,4,51.04,0
ITM100031,O10367,P1063,4,216.19,0
ITM100032,O10650,P1353,4,615.71,20
ITM100033,O10629,P1514,3,596.94,20
ITM100034,O10359,P1313,1,682.53,10
ITM100035,O10107,P1280,5,181.94,25
ITM100036,O10120,P1365,4,120.81,0
ITM100037,O10632,P1437,3,417.34,25
ITM100038,O10168,P1337,3,39.3,5
ITM100039,O10261,P1258,2,486.45,0
ITM100040,O10029,P1246,2,101.73,50
ITM100041,O10516,P1169,2,92.12,0
ITM100042,O10079,P1233,6,197.22,5
ITM100043,O10208,P1360,2,149.13,50
ITM100044,O10386,P1456,5,688.06,0
ITM100045,O10029,P1223,5,951.48,0
ITM100046,O10333,P1367,4,837.03,0
ITM100047,O10602,P1089,2,439.48,0
ITM100048,O10028,P1340,3,464.01,0
ITM100049,O10293,P1028,2,18.68,50
ITM100050,O10375,P1295,2,77.02,50
ITM100051,O10517,P1014,2,703.53,20
ITM100052,O10022,P1347,6,297.28,20
ITM100053,O10096,P1043,4,23.25,20
ITM100054,O10328,P1493,6,373.7,25
ITM100055,O10169,P1018,1,374.24,0
ITM100056,O10205,P1248,6,1023.53,25
ITM100057,O10142,P1291,3,114.28,50
ITM100058,O10520,P1323,6,922.45,10
ITM100059,O10145,P1065,8,202.28,25
ITM100060,O10077,P1367,8,575.85,20
ITM100061,O10645,P1177,3,497.52,50
ITM100062,O10039,P1494,6,530.1,15
ITM100063,O10577,P1112,4,43.03,0
ITM100064,O10022,P1352,4,186.65,15
ITM100065,O10045,P1485,2,842.63,25
ITM100066,O10254,P1221,1,578.08,25
ITM100067,O10147,P1455,1,122.79,10
ITM100068,O10513,P1334,6,174.23,50
ITM100069,O10007,P1280,7,366.11,10
ITM100070,O10205,P1485,3,896.58,10
ITM100071,O10120,P1060,6,763.98,50
ITM100072,O10607,P1035,5,397.18,20
ITM100073,O10108,P1287,5,697.39,0
ITM100074,O10530,P1040,7,522.85,50
ITM100075,O10289,P1293,-1,1022.35,0
ITM100076,O10529,P1502,1,347.15,15
ITM100077,O10444,P1360,2,124.24,0
ITM100078,O10149,P1252,2,41.49,0
ITM100079,O10019,P1201,1,179.38,50
ITM100080,O10243,P1275,5,124.9,50
ITM100081,O10013,P1417,4,1063.47,0
