product_id,product_name,category,subcategory,cost_price
P1001,Ergonomic Chair 1,Home,Furniture,81.61
P1002,Coloring Book 2,Electronics,Computers,95.24
P1003,Leather Jacket 3,Home,Bedding,264.87
P1004,Duvet Cover Set 4,Home,Furniture,245.63
P1005,Self-Help Guide 5,Clothing,Accessories,107.61
P1006,Self-Help Guide 6,Electronics,Wearables,85.88
P1007,Wireless Headphones 7,Electronics,Wearables,304.38
P1008,Duvet Cover Set 8,Electronics,Computers,143.79
P1009,Denim Jeans 9,Electronics,Computers,171.9
P1010,Cotton T-Shirt 10,Books,Fiction,474.48
P1011,Wireless Headphones 11,Books,Children,94.89
P1012,Leather Jacket 12,Home,Decor,423.2
P1013,Mystery Novel 13,Home,Kitchen,37.47
P1014,Self-Help Guide 14,Books,Sci-Fi,334.1
P1015,Duvet Cover Set 15,Electronics,Mobile,52.87
P1016,Denim Jeans 16,Electronics,Wearables,44.39
P1017,Sunglasses 17,Books,Fiction,437.6
P1018,Historical Biography 18,Electronics,Computers,295.47
P1019,Leather Jacket 19,Books,Children,262.53
P1020,Wireless Headphones 20,Clothing,Men's Wear,367.32
P1021,Table Lamp 21,Electronics,Computers,497.81
P1022,Historical Biography 22,Home,Furniture,29.02
P1023,Self-Help Guide 23,Clothing,Footwear,210.14
P1024,Bluetooth Speaker 24,Books,Children,22.99
P1025,Gaming Laptop 25,Electronics,Audio,5.6
P1026,Coffee Maker 26,Electronics,Audio,266.68
P1027,Self-Help Guide 27,Books,Non-Fiction,10.67
P1028,Gaming Laptop 28,Electronics,Computers,13.97
P1029,Table Lamp 29,Electronics,Gaming,302.03
P1030,Coffee Maker 30,Home,Furniture,373.37
P1031,Coloring Book 31,Clothing,Accessories,293.86
P1032,Table Lamp 32,Home,Furniture,202.32
P1033,Smartphone 33,Home,Bedding,369.23
P1034,Smartphone 34,Clothing,Accessories,169.02
P1035,Smartphone 35,Clothing,Men's Wear,284.09
P1036,Historical Biography 36,Clothing,Footwear,444.78
P1037,Leather Jacket 37,Books,Sci-Fi,318.4
P1038,Coffee Maker 38,Electronics,Wearables,255.04
P1039,Coffee Maker 39,Electronics,Computers,300.34
P1040,Mystery Novel 40,Electronics,Mobile,235.82
P1041,Bluetooth Speaker 41,Electronics,Wearables,219.22
P1042,Leather Jacket 42,Clothing,Accessories,141.48
P1043,Gaming Laptop 43,Books,Fiction,9.92
P1044,Coloring Book 44,Home,Kitchen,45.78
P1045,Wireless Headphones 45,Electronics,Mobile,347.64
P1046,Mystery Novel 46,Electronics,Mobile,64.82
P1047,Duvet Cover Set 47,Home,Kitchen,52.56
P1048,Gaming Laptop 48,Home,Bedding,211.31
P1049,Smart Watch 49,Electronics,Computers,401.33
P1050,Table Lamp 50,Home,Bedding,43.95
P1051,Coffee Maker 51,Home,Decor,466.87
P1052,Coloring Book 52,Home,Bedding,314.89
P1053,Leather Jacket 53,Electronics,Wearables,27.58
P1054,Table Lamp 54,Clothing,Women's Wear,147.64
P1055,Historical Biography 55,Home,Bedding,210.64
P1056,Self-Help Guide 56,Books,Children,382.99
P1057,Leather Jacket 57,Home,Furniture,213.75
P1058,Wall Clock 58,Books,Non-Fiction,45.92
P1059,Smartphone 59,Electronics,Computers,452.32
P1060,Ergonomic Chair 60,Books,Sci-Fi,412.71
P1061,Coloring Book 61,Electronics,Gaming,254.57
P1062,Space Odyssey 62,Clothing,Accessories,276.79
P1063,Wireless Headphones 63,Books,Biography,159.2
P1064,Sunglasses 64,Home,Furniture,432.54
P1065,Running Shoes 65,Home,Kitchen,149.15
P1066,Cotton T-Shirt 66,Electronics,Computers,363.93
P1067,Running Shoes 67,Home,Bedding,139.05
P1068,Smart Watch 68,Books,Non-Fiction,50.45
P1069,Coloring Book 69,Clothing,Men's Wear,317.62
P1070,Coloring Book 70,Clothing,Men's Wear,242.86
P1071,Running Shoes 71,Books,Fiction,399.61
P1072,Bluetooth Speaker 72,Electronics,Computers,342.62
P1073,Coffee Maker 73,Electronics,Mobile,129.5
P1074,Smartphone 74,Books,Fiction,154.51
P1075,Table Lamp 75,Home,Decor,361.48
P1076,Coloring Book 76,Home,Kitchen,91.26
P1077,Wall Clock 77,Books,Fiction,342.15
P1078,Coffee Maker 78,Books,Fiction,319.68
P1079,Coloring Book 79,Home,Decor,241.83
P1080,Historical Biography 80,Home,Decor,246.1
P1081,Self-Help Guide 81,Books,Biography,247.34
P1082,Running Shoes 82,Home,Bedding,117.9
P1083,Smart Watch 83,Home,Kitchen,114.98
P1084,Coffee Maker 84,Home,Kitchen,448.73
P1085,Running Shoes 85,Home,Kitchen,90.62
P1086,Smartphone 86,Electronics,Mobile,40.98
P1087,Mystery Novel 87,Electronics,Gaming,64.12
P1088,Cotton T-Shirt 88,Books,Sci-Fi,67.6
P1089,Mystery Novel 89,Clothing,Women's Wear,277.1
P1090,Space Odyssey 90,Home,Kitchen,14.41
P1091,Ergonomic Chair 91,Books,Fiction,213.69
P1092,Self-Help Guide 92,Home,Decor,394.51
P1093,Sunglasses 93,Clothing,Footwear,317.41
P1094,Gaming Laptop 94,Home,Kitchen,17.34
P1095,Smartphone 95,Electronics,Gaming,318.44
P1096,Smartphone 96,Clothing,Men's Wear,387.13
P1097,Wall Clock 97,Electronics,Gaming,398.67
P1098,Ergonomic Chair 98,Books,Biography,344.25
P1099,Space Odyssey 99,Home,Furniture,214.84
P1100,Mystery Novel 100,Clothing,Footwear,228.49
P1101,Wall Clock 101,Clothing,Men's Wear,61.83
P1102,Leather Jacket 102,Home,Furniture,244.45
P1103,Cotton T-Shirt 103,Clothing,Women's Wear,98.61
P1104,Ergonomic Chair 104,Electronics,Wearables,341.88
P1105,Smart Watch 105,Electronics,Computers,198.0
P1106,Self-Help Guide 106,Clothing,Women's Wear,57.57
P1107,Wall Clock 107,Electronics,Wearables,411.87
P1108,Historical Biography 108,Electronics,Computers,434.12
P1109,Duvet Cover Set 109,Clothing,Footwear,301.94
P1110,Duvet Cover Set 110,Home,Bedding,402.85
P1111,Denim Jeans 111,Electronics,Mobile,422.29
P1112,Ergonomic Chair 112,Home,Bedding,22.57
P1113,Cotton T-Shirt 113,Clothing,Men's Wear,406.96
P1114,Denim Jeans 114,Clothing,Women's Wear,110.06
P1115,Running Shoes 115,Home,Kitchen,147.7
P1116,Denim Jeans 116,Books,Biography,475.22
P1117,Ergonomic Chair 117,Books,Children,179.36
P1118,Smartphone 118,Clothing,Accessories,105.54
P1119,Historical Biography 119,Electronics,Wearables,114.3
P1120,Wall Clock 120,Books,Non-Fiction,220.17
P1121,Wireless Headphones 121,Books,Children,30.39
P1122,Mystery Novel 122,Electronics,Wearables,348.42
P1123,Coffee Maker 123,Books,Sci-Fi,374.28
P1124,Cotton T-Shirt 124,Books,Sci-Fi,495.74
P1125,Cotton T-Shirt 125,Books,Children,161.96
P1126,Coloring Book 126,Books,Non-Fiction,75.25
P1127,Coloring Book 127,Electronics,Mobile,487.59
P1128,Duvet Cover Set 128,Home,Kitchen,193.52
P1129,Gaming Laptop 129,Home,Kitchen,349.52
P1130,Smartphone 130,Electronics,Wearables,156.72
P1131,Denim Jeans 131,Books,Fiction,160.28
P1132,Self-Help Guide 132,Books,Sci-Fi,378.26
P1133,Sunglasses 133,Home,Furniture,121.54
P1134,Self-Help Guide 134,Electronics,Wearables,201.55
P1135,Smart Watch 135,Clothing,Men's Wear,163.12
P1136,Denim Jeans 136,Home,Furniture,42.27
P1137,Gaming Laptop 137,Books,Biography,119.15
P1138,Mystery Novel 138,Home,Furniture,121.99
P1139,Space Odyssey 139,Home,Decor,107.31
P1140,Historical Biography 140,Home,Furniture,225.22
P1141,Historical Biography 141,Home,Furniture,74.26
P1142,Duvet Cover Set 142,Electronics,Mobile,469.48
P1143,Denim Jeans 143,Books,Fiction,481.79
P1144,Historical Biography 144,Clothing,Footwear,281.39
P1145,Self-Help Guide 145,Home,Decor,279.59
P1146,Leather Jacket 146,Books,Non-Fiction,162.02
P1147,Historical Biography 147,Home,Kitchen,136.19
P1148,Sunglasses 148,Electronics,Wearables,146.77
P1149,Bluetooth Speaker 149,Clothing,Footwear,354.84
P1150,Space Odyssey 150,Electronics,Audio,357.79
P1151,Table Lamp 151,Electronics,Computers,189.13
P1152,Wireless Headphones 152,Books,Non-Fiction,177.79
P1153,Gaming Laptop 153,Home,Furniture,402.11
P1154,Bluetooth Speaker 154,Electronics,Computers,428.52
P1155,Smartphone 155,Home,Bedding,56.05
P1156,Self-Help Guide 156,Home,Kitchen,279.86
P1157,Cotton T-Shirt 157,Electronics,Wearables,208.03
P1158,Table Lamp 158,Electronics,Gaming,482.59
P1159,Smart Watch 159,Clothing,Accessories,134.7
P1160,Self-Help Guide 160,Home,Kitchen,195.5
P1161,Cotton T-Shirt 161,Clothing,Men's Wear,241.94
P1162,Coffee Maker 162,Electronics,Mobile,64.15
P1163,Duvet Cover Set 163,Clothing,Men's Wear,244.59
P1164,Gaming Laptop 164,Clothing,Women's Wear,190.82
P1165,Table Lamp 165,Home,Kitchen,184.83
P1166,Mystery Novel 166,Home,Decor,43.84
P1167,Smartphone 167,Books,Biography,431.02
P1168,Smartphone 168,Clothing,Women's Wear,380.06
P1169,Coffee Maker 169,Electronics,Gaming,74.64
P1170,Historical Biography 170,Books,Sci-Fi,265.83
P1171,Running Shoes 171,Electronics,Gaming,384.31
P1172,Smart Watch 172,Books,Children,242.4
P1173,Coloring Book 173,Clothing,Footwear,368.96
P1174,Historical Biography 174,Clothing,Men's Wear,376.47
P1175,Smart Watch 175,Books,Fiction,150.85
P1176,Sunglasses 176,Books,Biography,259.78
P1177,Bluetooth Speaker 177,Electronics,Audio,246.59
P1178,Running Shoes 178,Home,Decor,88.66
P1179,Denim Jeans 179,Books,Children,268.46
P1180,Table Lamp 180,Electronics,Audio,147.66
P1181,Cotton T-Shirt 181,Books,Biography,26.37
P1182,Coloring Book 182,Home,Bedding,164.01
P1183,Leather Jacket 183,Books,Sci-Fi,240.01
P1184,Table Lamp 184,Electronics,Wearables,486.03
