order_id,customer_id,order_date,status,region_code
O10001,C1203,2025-09-07 10:38:38,SHIPPED,SOUTH
O10002,C1548,2024-06-05 04:41:44,RETURNED,SOUTH
O10003,C1318,2025-11-22 12:36:07,DELIVERED,EAST
O10004,C1341,16-08-2024 03:33:40,SHIPPED,WEST
O10005,C1018,2025-01-23 02:00:11,DELIVERED,CENTRAL
O10006,C1021,2025-11-13 21:21:55,DELIVERED,NORTH
O10007,C1550,2025-08-19 21:32:02,SHIPPED,EAST
O10008,C1009,26-01-2025 16:38:44,DELIVERED,EAST
O10009,C1414,2024-10-24 22:05:02,SHIPPED,CENTRAL
O10010,C1338,06-12-2024 03:51:44,DELIVERED,CENTRAL
O10011,C1265,2025-04-27 04:15:49,DELIVERED,CENTRAL
O10012,C1366,2025-09-23 16:38:59,DELIVERED,NORTH
O10013,C1370,2026-01-26 20:31:19,DELIVERED,CENTRAL
O10014,C1084,2026-04-18 15:27:05,DELIVERED,CENTRAL
O10015,C1263,2025-03-02 20:53:18,DELIVERED,EAST
O10016,C1542,2025-12-03 20:34:30,RETURNED,SOUTH
O10017,C1354,2025-09-19 13:11:23,DELIVERED,SOUTH
O10018,C1546,2025-02-20 08:17:30,DELIVERED,CENTRAL
O10019,C1202,2025-11-27 09:28:16,DELIVERED,CENTRAL
O10020,C1317,14-06-2025 05:12:41,DELIVERED,SOUTH
O10021,C1288,2025-07-05 15:24:58,DELIVERED,CENTRAL
O10022,C1087,2024-11-30 09:27:07,DELIVERED,WEST
O10023,C1375,2025-07-01 23:14:21,PLACED,SOUTH
O10024,C1428,2025-11-28 20:07:46,SHIPPED,NORTH
O10025,C1540,2025-08-18 08:51:21,SHIPPED,WEST
O10026,C1078,2025-07-13 19:45:16,DELIVERED,WEST
O10027,C1080,2025-02-22 17:51:26,DELIVERED,CENTRAL
O10028,C1344,2024-12-20 16:54:04,DELIVERED,NORTH
O10029,C1024,2026-04-02 08:09:23,SHIPPED,SOUTH
O10030,C1057,04-07-2025 09:28:46,RETURNED,CENTRAL
O10031,C1430,2025-07-18 15:15:36,RETURNED,SOUTH
O10032,C1278,2025-08-01 13:22:10,RETURNED,WEST
O10033,C1130,2025-12-03 16:38:59,DELIVERED,CENTRAL
O10034,C1474,2025-07-01 01:08:19,SHIPPED,EAST
O10035,C1180,2025-05-26 09:53:05,DELIVERED,EAST
O10036,C1484,27-09-2024 12:53:54,DELIVERED,CENTRAL
O10037,C1308,03-08-2024 20:16:05,DELIVERED,WEST
O10038,C1049,2024-11-05 21:40:01,DELIVERED,CENTRAL
O10039,C1229,2024-11-21 01:21:54,RETURNED,CENTRAL
O10040,,2025-12-05 13:01:12,PLACED,EAST
O10041,C1284,2024-12-11 04:19:09,DELIVERED,CENTRAL
